words,00s,10s,20s,50s,60s,70s,80s,90s
2802,0,0,0,0,0,0,0,1
2805,0,0,0,0,0,0,0,1
281,0,0,1,0,0,0,0,0
282,0,0,1,0,0,0,0,0
283,0,0,1,0,0,0,0,0
284,0,0,1,0,0,0,0,0
285,0,0,1,0,0,0,0,0
286,0,0,1,0,0,0,0,0
287,0,0,1,0,0,0,0,0
288,0,0,1,0,0,0,0,0
289,0,0,1,0,0,0,0,0
28bob,0,0,1,0,0,0,0,0
28diego,0,0,1,0,0,0,0,0
28e40,0,0,1,0,0,0,0,0
28elohim,0,0,1,0,0,0,0,0
28gucci,0,0,1,0,0,0,0,0
28ivy,0,0,1,0,0,0,0,0
28namarch,0,0,1,0,0,0,0,0
28namay,0,0,1,0,0,0,0,0
28still,0,0,1,0,0,0,0,0
29,0,1,2,0,0,0,0,1
290,0,0,1,0,0,0,0,0
2901,0,0,0,0,0,0,0,1
2903,0,0,0,0,0,0,0,1
2904,0,0,0,0,0,0,0,1
291,0,0,1,0,0,0,0,0
2910,0,0,0,0,0,0,0,1
292,0,0,1,0,0,0,0,0
293,0,0,1,0,0,0,0,0
294,0,0,1,0,0,0,0,0
295,0,0,1,0,0,0,0,0
296,0,0,1,0,0,0,0,0
297,0,0,1,0,0,0,0,0
298,0,0,1,0,0,0,0,0
299,0,0,1,0,0,0,0,0
29empress,0,0,1,0,0,0,0,0
29kiiara,0,0,1,0,0,0,0,0
29najuly,0,0,1,0,0,0,0,0
29namarch,0,0,1,0,0,0,0,0
29naseptember,0,0,1,0,0,0,0,0
29niki,0,0,1,0,0,0,0,0
29safe,0,0,1,0,0,0,0,0
29yrn,0,0,1,0,0,0,0,0
2am,0,0,1,0,0,0,0,0
2camila,0,0,1,0,0,0,0,0
2carnage,0,0,1,0,0,0,0,0
2delaney,0,0,1,0,0,0,0,0
2guy,0,0,1,0,0,0,0,0
2kiiara,0,0,1,0,0,0,0,0
2members,0,0,1,0,0,0,0,0
2najune,0,0,1,0,0,0,0,0
2nd,0,1,0,0,0,0,0,1
2noname,0,0,1,0,0,0,0,0
2playboi,0,0,1,0,0,0,0,0
2raveena,0,0,1,0,0,0,0,0
2u4u,0,0,1,0,0,0,0,0
2x,0,0,1,0,0,0,0,0
30,0,1,3,0,0,1,0,1
300,0,0,2,0,0,0,0,0
3000,0,0,1,0,0,0,0,1
3003,0,0,0,0,0,0,0,1
3004,0,0,0,0,0,0,0,1
301,0,0,1,0,0,0,0,0
302,0,0,1,0,0,0,0,0
303,0,0,1,0,0,0,0,1
304,0,0,2,0,0,0,0,0
305,0,0,1,0,0,0,0,0
306,0,0,1,0,0,0,0,1
307,0,0,1,0,0,0,0,0
308,0,0,1,0,0,0,0,0
309,0,0,1,0,0,0,0,0
30cashwaveyboiz,0,0,1,0,0,0,0,0
30chaos,0,0,1,0,0,0,0,0
30naaugust,0,0,1,0,0,0,0,0
30naseptember,0,0,1,0,0,0,0,0
30ray,0,0,1,0,0,0,0,0
30the,0,0,1,0,0,0,0,0
30vanjess,0,0,1,0,0,0,0,0
31,0,1,2,0,0,0,0,0
310,0,0,1,0,0,0,0,0
3105,0,0,0,0,0,0,0,1
311,0,0,1,0,0,0,0,0
312,0,0,1,0,0,0,0,0
313,0,0,1,0,0,0,0,0
314,0,0,1,0,0,0,0,0
315,0,0,1,0,0,0,0,0
316,0,0,1,0,0,0,0,0
317,0,0,1,0,0,0,0,0
318,1,0,1,0,0,0,0,0
318730,0,0,1,0,0,0,0,0
319,0,0,1,0,0,0,0,0
31charli,0,0,1,0,0,0,0,0
31htown,0,0,1,0,0,0,0,0
31mango,0,0,1,0,0,0,0,0
31naaugust,0,0,1,0,0,0,0,0
31pusha,0,0,1,0,0,0,0,0
32,0,1,2,0,0,0,0,0
